,順位,アウェイ,年度,節数
522,17,金沢,2017,第24
523,18,岐阜,2017,第24
524,19,熊本,2017,第24
525,20,山口,2017,第24
526,21,讃岐,2017,第24
527,22,群馬,2017,第24
528,1,湘南,2017,第25
529,2,福岡,2017,第25
530,3,徳島,2017,第25
531,4,横浜FC,2017,第25
532,5,長崎,2017,第25
533,6,名古屋,2017,第25
534,7,岡山,2017,第25
535,8,松本,2017,第25
536,9,水戸,2017,第25
537,10,大分,2017,第25
538,11,東京Ｖ,2017,第25
539,12,千葉,2017,第25
540,13,京都,2017,第25
541,14,町田,2017,第25
542,15,愛媛,2017,第25
543,16,山形,2017,第25
544,17,岐阜,2017,第25
545,18,金沢,2017,第25
546,19,熊本,2017,第25
547,20,山口,2017,第25
548,21,讃岐,2017,第25
549,22,群馬,2017,第25
550,1,湘南,2017,第26
551,2,福岡,2017,第26
552,3,長崎,2017,第26
553,4,徳島,2017,第26
554,5,名古屋,2017,第26
555,6,横浜FC,2017,第26
556,7,大分,2017,第26
557,8,岡山,2017,第26
558,9,松本,2017,第26
559,10,千葉,2017,第26
560,11,水戸,2017,第26
561,12,山形,2017,第26
562,13,東京Ｖ,2017,第26
563,14,京都,2017,第26
564,15,町田,2017,第26
565,16,愛媛,2017,第26
566,17,岐阜,2017,第26
567,18,金沢,2017,第26
568,19,熊本,2017,第26
569,20,山口,2017,第26
570,21,讃岐,2017,第26
571,22,群馬,2017,第26
572,1,湘南,2017,第27
573,2,福岡,2017,第27
574,3,名古屋,2017,第27
575,4,徳島,2017,第27
576,5,長崎,2017,第27
577,6,横浜FC,2017,第27
578,7,千葉,2017,第27
579,8,岡山,2017,第27
580,9,大分,2017,第27
581,10,山形,2017,第27
582,11,東京Ｖ,2017,第27
583,12,水戸,2017,第27
584,13,松本,2017,第27
585,14,町田,2017,第27
586,15,京都,2017,第27
587,16,愛媛,2017,第27
588,17,岐阜,2017,第27
589,18,金沢,2017,第27
590,19,熊本,2017,第27
591,20,讃岐,2017,第27
592,21,山口,2017,第27
593,22,群馬,2017,第27
594,1,湘南,2017,第28
595,2,福岡,2017,第28
596,3,名古屋,2017,第28
597,4,徳島,2017,第28
598,5,長崎,2017,第28
599,6,東京Ｖ,2017,第28
600,7,水戸,2017,第28
601,8,松本,2017,第28
602,9,横浜FC,2017,第28
603,10,千葉,2017,第28
604,11,岡山,2017,第28
605,12,大分,2017,第28
606,13,山形,2017,第28
607,14,愛媛,2017,第28
608,15,町田,2017,第28
609,16,京都,2017,第28
610,17,岐阜,2017,第28
611,18,金沢,2017,第28
612,19,熊本,2017,第28
613,20,讃岐,2017,第28
614,21,山口,2017,第28
615,22,群馬,2017,第28
616,1,湘南,2017,第29
617,2,福岡,2017,第29
618,3,名古屋,2017,第29
619,4,徳島,2017,第29
620,5,長崎,2017,第29
621,6,東京Ｖ,2017,第29
622,7,横浜FC,2017,第29
623,8,松本,2017,第29
624,9,千葉,2017,第29
625,10,水戸,2017,第29
626,11,岡山,2017,第29
627,12,大分,2017,第29
628,13,山形,2017,第29
629,14,愛媛,2017,第29
630,15,町田,2017,第29
631,16,京都,2017,第29
632,17,岐阜,2017,第29
633,18,金沢,2017,第29
634,19,熊本,2017,第29
635,20,讃岐,2017,第29
636,21,山口,2017,第29
637,22,群馬,2017,第29
638,1,湘南,2017,第30
